DesignName,ParticipantID,TrialID,Block1,First,Second,Size
2dir,2,148,20,NE,SE,2
2dir,2,149,21,SW,N,2
2dir,2,150,22,S,E,1
2dir,2,151,23,N,W,1
2dir,2,152,24,SW,E,2
2dir,2,153,25,NW,E,1
2dir,2,154,26,NW,W,2
2dir,2,155,27,SE,NE,2
2dir,2,156,28,SE,S,2
2dir,2,157,29,S,W,2
2dir,2,158,30,S,NW,1
2dir,2,159,31,NE,E,1
2dir,2,160,32,E,NE,2
2dir,2,161,33,N,N,2
2dir,2,162,34,W,SE,1
2dir,2,163,35,SW,SE,1
2dir,2,164,36,W,E,2
2dir,2,165,37,W,SW,2
2dir,2,166,38,NE,E,2
2dir,2,167,39,NE,W,1
2dir,2,168,40,S,N,1
2dir,2,169,41,NW,S,2
2dir,2,170,42,S,SW,2
2dir,2,171,43,NW,SW,1
2dir,2,172,44,SW,SW,1
2dir,2,173,45,N,NW,1
2dir,2,174,46,S,S,2
2dir,2,175,47,NW,N,1
2dir,2,176,48,N,SE,2
2dir,2,177,49,SE,SE,2
2dir,2,178,50,N,E,2
2dir,2,179,51,E,SE,1
2dir,2,180,52,W,S,2
2dir,2,181,53,E,S,1
2dir,2,182,54,W,SE,2
2dir,2,183,55,NE,S,1
2dir,2,184,56,SW,NW,1
2dir,2,185,57,NW,N,2
2dir,2,186,58,E,E,2
2dir,2,187,59,E,SW,1
2dir,2,188,60,SE,E,2
2dir,2,189,61,S,NW,2
2dir,2,190,62,SE,SW,2
2dir,2,191,63,SW,SW,2
2dir,2,192,64,E,SE,2
2dir,2,193,65,S,NE,1
2dir,2,194,66,W,SW,1
2dir,2,195,67,S,NE,2
2dir,2,196,68,S,SE,2
2dir,2,197,69,W,N,1
2dir,2,198,70,NE,W,2
2dir,2,199,71,E,S,2
2dir,2,200,72,NE,NW,1
2dir,2,201,73,W,W,2
2dir,2,202,74,SW,W,1
2dir,2,203,75,NW,S,1
2dir,2,204,76,SE,N,2
2dir,2,205,77,N,E,1
2dir,2,206,78,N,S,2
2dir,2,207,79,SE,NE,1
2dir,2,208,80,N,W,2
2dir,2,209,81,NW,SE,2
2dir,2,210,82,N,SW,1
2dir,2,211,83,NE,NE,2
2dir,2,212,84,SE,NW,2
2dir,2,213,85,SW,NW,2
2dir,2,214,86,S,SE,1
2dir,2,215,87,E,NW,1
2dir,2,216,88,NE,NE,1
2dir,2,217,89,NE,S,2
2dir,2,218,90,E,E,1
2dir,2,219,91,SE,SW,1
2dir,2,220,92,SE,SE,1
2dir,2,221,93,NW,NE,2
2dir,2,222,94,S,SW,1
2dir,2,223,95,W,S,1
2dir,2,224,96,W,NW,1
2dir,2,225,97,N,N,1
2dir,2,226,98,N,NE,1
2dir,2,227,99,SW,NE,1
2dir,2,228,100,W,NE,2
2dir,2,229,101,E,NW,2
2dir,2,230,102,SW,E,1
2dir,2,231,103,NE,SW,1
2dir,2,232,104,E,N,1
2dir,2,233,105,N,SE,1
2dir,2,234,106,SE,S,1
2dir,2,235,107,W,W,1
2dir,2,236,108,NW,NW,2
2dir,2,237,109,SW,NE,2
2dir,2,238,110,NW,NE,1
2dir,2,239,111,NE,NW,2
2dir,2,240,112,N,S,1
2dir,2,241,113,S,S,1
2dir,2,242,114,E,W,1
2dir,2,243,115,SW,S,1
2dir,2,244,116,SW,W,2
2dir,2,245,117,SE,W,1
2dir,2,246,118,N,SW,2
2dir,2,247,119,SE,NW,1
2dir,2,248,120,E,N,2
2dir,2,249,121,N,NW,2
2dir,2,250,122,NW,SW,2
2dir,2,251,123,SW,N,1
2dir,2,252,124,S,W,1
2dir,2,253,125,SE,W,2
2dir,2,254,126,S,N,2
2dir,2,255,127,NW,W,1
2dir,2,256,128,E,NE,1
2dir,3,257,1,W,N,1
2dir,3,258,2,W,E,2
2dir,3,259,3,SW,E,1
2dir,3,260,4,S,W,1
2dir,3,261,5,E,NE,1
2dir,3,262,6,SE,E,2
2dir,3,263,7,NW,NW,2
2dir,3,264,8,SE,N,2
2dir,3,265,9,NW,N,1
2dir,3,266,10,W,S,1
2dir,3,267,11,W,SE,1
2dir,3,268,12,W,NE,2
2dir,3,269,13,NE,N,2
2dir,3,270,14,NE,S,1
2dir,3,271,15,NW,W,1
2dir,3,272,16,SW,SW,1
2dir,3,273,17,N,NW,1
2dir,3,274,18,NW,SE,2
2dir,3,275,19,NE,SE,2
2dir,3,276,20,NE,SW,1
2dir,3,277,21,SW,S,1
2dir,3,278,22,S,E,2
2dir,3,279,23,N,W,2
2dir,3,280,24,SW,W,1
2dir,3,281,25,NW,E,2
2dir,3,282,26,NW,NE,1
2dir,3,283,27,SE,NW,1
2dir,3,284,28,SE,E,1
2dir,3,285,29,S,NE,1
2dir,3,286,30,S,NW,2
2dir,3,287,31,NE,E,2
2dir,3,288,32,E,NW,1
2dir,3,289,33,N,S,1
2dir,3,290,34,W,SE,2
2dir,3,291,35,SW,SE,2
2dir,3,292,36,W,W,1
2dir,3,293,37,NE,N,1
2dir,3,294,38,NE,W,1
2dir,3,295,39,NE,W,2
2dir,3,296,40,S,N,2
2dir,3,297,41,NW,E,1
2dir,3,298,42,E,N,1
2dir,3,299,43,NW,SW,2
2dir,3,300,44,SW,SW,2
2dir,3,301,45,N,NW,2
2dir,3,302,46,S,E,1
2dir,3,303,47,NW,N,2
2dir,3,304,48,N,SW,1
2dir,3,305,49,SE,SW,1
2dir,3,306,50,N,W,1
2dir,3,307,51,E,SE,2
2dir,3,308,52,W,E,1
2dir,3,309,53,E,S,2
2dir,3,310,54,W,SW,1
2dir,3,311,55,NE,S,2
2dir,3,312,56,SW,NW,2
2dir,3,313,57,NW,S,1
2dir,3,314,58,E,W,1
2dir,3,315,59,E,SW,2
2dir,3,316,60,SE,W,1
2dir,3,317,61,S,SE,1
2dir,3,318,62,SW,N,1
2dir,3,319,63,N,N,1
2dir,3,320,64,E,SW,1
2dir,3,321,65,S,NE,2
2dir,3,322,66,W,SW,2
2dir,3,323,67,S,NW,1
2dir,3,324,68,S,SW,1
2dir,3,325,69,W,N,2
2dir,3,326,70,NE,NE,1
2dir,3,327,71,E,E,1
2dir,3,328,72,NE,NW,2
2dir,3,329,73,W,NE,1
2dir,3,330,74,SW,W,2
2dir,3,331,75,NW,S,2
2dir,3,332,76,SE,S,1
2dir,3,333,77,N,E,2
2dir,3,334,78,N,E,1
2dir,3,335,79,SE,NE,2
2dir,3,336,80,N,NE,1
2dir,3,337,81,NW,SW,1
2dir,3,338,82,N,SW,2
2dir,3,339,83,NE,NW,1
2dir,3,340,84,SE,SE,1
2dir,3,341,85,SW,SE,1
2dir,3,342,86,S,SE,2
2dir,3,343,87,E,NW,2
2dir,3,344,88,NE,NE,2
2dir,3,345,89,NE,E,1
2dir,3,346,90,E,E,2
2dir,3,347,91,SE,SW,2
2dir,3,348,92,SE,SE,2
2dir,3,349,93,NW,NW,1
2dir,3,350,94,S,SW,2
2dir,3,351,95,W,S,2
2dir,3,352,96,W,NW,2
2dir,3,353,97,N,N,2
2dir,3,354,98,N,NE,2
2dir,3,355,99,SW,NE,2
2dir,3,356,100,W,NW,1
2dir,3,357,101,E,SE,1
2dir,3,358,102,SW,E,2
2dir,3,359,103,NE,SW,2
2dir,3,360,104,E,N,2
2dir,3,361,105,N,SE,2
2dir,3,362,106,SE,S,2
2dir,3,363,107,W,W,2
2dir,3,364,108,NW,SE,1
2dir,3,365,109,SW,NW,1
2dir,3,366,110,NW,NE,2
2dir,3,367,111,NE,SE,1
2dir,3,368,112,N,S,2
2dir,3,369,113,S,S,2
2dir,3,370,114,E,W,2
2dir,3,371,115,SW,S,2
2dir,3,372,116,SW,NE,1
2dir,3,373,117,SE,W,2
2dir,3,374,118,S,N,1
2dir,3,375,119,SE,NW,2
2dir,3,376,120,E,S,1
2dir,3,377,121,N,SE,1
2dir,3,378,122,SE,N,1
2dir,3,379,123,SW,N,2
2dir,3,380,124,S,W,2
2dir,3,381,125,SE,NE,1
2dir,3,382,126,S,S,1
2dir,3,383,127,NW,W,2
2dir,3,384,128,E,NE,2
2dir,4,385,1,W,N,2
2dir,4,386,2,W,W,1
2dir,4,387,3,SW,E,2
2dir,4,388,4,S,W,2
2dir,4,389,5,E,NE,2
2dir,4,390,6,SE,W,1
2dir,4,391,7,NW,SE,1
2dir,4,392,8,SE,S,1
2dir,4,393,9,NW,N,2
2dir,4,394,10,W,S,2
2dir,4,395,11,W,SE,2
2dir,4,396,12,W,NW,1
2dir,4,397,13,NE,S,1
2dir,4,398,14,NE,S,2
2dir,4,399,15,NW,W,2
2dir,4,400,16,SW,SW,2
2dir,4,401,17,N,NW,2
2dir,4,402,18,NW,SW,1
2dir,4,403,19,NE,SW,1
2dir,4,404,20,NE,SW,2
2dir,4,405,21,SW,S,2
2dir,4,406,22,S,W,1
2dir,4,407,23,N,NE,1
2dir,4,408,24,SW,W,2
2dir,4,409,25,NW,W,1
2dir,4,410,26,NW,NE,2
2dir,4,411,27,SE,NW,2
2dir,4,412,28,SE,E,2
2dir,4,413,29,S,NE,2
2dir,4,414,30,S,SE,1
2dir,4,415,31,NE,W,1
2dir,4,416,32,E,NW,2
2dir,4,417,33,N,S,2
2dir,4,418,34,W,SW,1
2dir,4,419,35,SW,SW,1
2dir,4,420,36,W,W,2
2dir,4,421,37,NE,N,2
2dir,4,422,38,NE,W,2
2dir,4,423,39,NE,NE,1
2dir,4,424,40,S,S,1
2dir,4,425,41,NW,E,2
2dir,4,426,42,E,N,2
2dir,4,427,43,SE,N,1
2dir,4,428,44,N,N,1
2dir,4,429,45,N,SE,1
2dir,4,430,46,S,E,2
2dir,4,431,47,NW,S,1
2dir,4,432,48,N,SW,2
2dir,4,433,49,SE,SW,2
2dir,4,434,50,N,W,2
2dir,4,435,51,E,SW,1
2dir,4,436,52,W,E,2
2dir,4,437,53,E,E,1
2dir,4,438,54,W,SW,2
2dir,4,439,55,NE,E,1
2dir,4,440,56,SW,SE,1
2dir,4,441,57,NW,S,2
2dir,4,442,58,E,W,2
2dir,4,443,59,W,N,1
2dir,4,444,60,SE,W,2
2dir,4,445,61,S,SE,2
2dir,4,446,62,SW,N,2
2dir,4,447,63,N,N,2
2dir,4,448,64,E,SW,2
2dir,4,449,65,S,NW,1
2dir,4,450,66,NE,N,1
2dir,4,451,67,S,NW,2
2dir,4,452,68,S,SW,2
2dir,4,453,69,W,S,1
2dir,4,454,70,NE,NE,2
2dir,4,455,71,E,E,2
2dir,4,456,72,NE,SE,1
2dir,4,457,73,W,NE,2
2dir,4,458,74,SW,NE,1
2dir,4,459,75,NW,E,1
2dir,4,460,76,SE,S,2
2dir,4,461,77,N,W,1
2dir,4,462,78,N,E,2
2dir,4,463,79,SE,NW,1
2dir,4,464,80,N,NE,2
2dir,4,465,81,NW,SW,2
2dir,4,466,82,S,N,1
2dir,4,467,83,NE,NW,2
2dir,4,468,84,SE,SE,2
2dir,4,469,85,SW,SE,2
2dir,4,470,86,S,SW,1
2dir,4,471,87,E,SE,1
2dir,4,472,88,NE,NW,1
2dir,4,473,89,NE,E,2
2dir,4,474,90,E,W,1
2dir,4,475,91,SW,N,1
2dir,4,476,92,SE,SW,1
2dir,4,477,93,NW,NW,2
2dir,4,478,94,E,N,1
2dir,4,479,95,W,E,1
2dir,4,480,96,W,SE,1
2dir,4,481,97,N,S,1
2dir,4,482,98,N,NW,1
2dir,4,483,99,SW,NW,1
2dir,4,484,100,W,NW,2
2dir,4,485,101,E,SE,2
2dir,4,486,102,SW,W,1
2dir,4,487,103,NW,N,1
2dir,4,488,104,E,S,1
2dir,4,489,105,N,SW,1
2dir,4,490,106,SE,E,1
2dir,4,491,107,W,NE,1
2dir,4,492,108,NW,SE,2
2dir,4,493,109,SW,NW,2
2dir,4,494,110,NW,NW,1
2dir,4,495,111,NE,SE,2
2dir,4,496,112,N,E,1
2dir,4,497,113,S,E,1
2dir,4,498,114,E,NE,1
2dir,4,499,115,SW,E,1
2dir,4,500,116,SW,NE,2
2dir,4,501,117,SE,NE,1
2dir,4,502,118,S,N,2
2dir,4,503,119,SE,SE,1
2dir,4,504,120,E,S,2
2dir,4,505,121,N,SE,2
2dir,4,506,122,SE,N,2
2dir,4,507,123,SW,S,1
2dir,4,508,124,S,NE,1
2dir,4,509,125,SE,NE,2
2dir,4,510,126,S,S,2
2dir,4,511,127,NW,NE,1
2dir,4,512,128,E,NW,1
2dir,5,513,1,W,S,1
2dir,5,514,2,W,W,2
2dir,5,515,3,SW,W,1
2dir,5,516,4,S,NE,1
2dir,5,517,5,E,NW,1
2dir,5,518,6,SE,W,2
2dir,5,519,7,NW,SE,2
2dir,5,520,8,SE,S,2
2dir,5,521,9,NW,S,1
2dir,5,522,10,W,E,1
2dir,5,523,11,W,SW,1
2dir,5,524,12,W,NW,2
2dir,5,525,13,NE,S,2
2dir,5,526,14,NE,E,1
2dir,5,527,15,NW,NE,1
2dir,5,528,16,N,N,1
2dir,5,529,17,N,SE,1
2dir,5,530,18,NW,SW,2
2dir,5,531,19,NE,SW,2
2dir,5,532,20,NW,N,1
2dir,5,533,21,SW,E,1
2dir,5,534,22,S,W,2
2dir,5,535,23,N,NE,2
2dir,5,536,24,SW,NE,1
2dir,5,537,25,NW,W,2
2dir,5,538,26,NW,NW,1
2dir,5,539,27,SE,SE,1
2dir,5,540,28,SE,W,1
2dir,5,541,29,S,NW,1
2dir,5,542,30,S,SE,2
2dir,5,543,31,NE,W,2
2dir,5,544,32,E,SE,1
2dir,5,545,33,N,E,1
2dir,5,546,34,W,SW,2
2dir,5,547,35,SW,SW,2
2dir,5,548,36,W,NE,1
2dir,5,549,37,NE,S,1
2dir,5,550,38,NE,NE,1
2dir,5,551,39,NE,NE,2
2dir,5,552,40,S,S,2
2dir,5,553,41,NW,W,1
2dir,5,554,42,E,S,1
2dir,5,555,43,SE,N,2
2dir,5,556,44,N,N,2
2dir,5,557,45,N,SE,2
2dir,5,558,46,S,W,1
2dir,5,559,47,NW,S,2
2dir,5,560,48,S,N,1
2dir,5,561,49,SW,N,1
2dir,5,562,50,N,NE,1
2dir,5,563,51,E,SW,2
2dir,5,564,52,W,W,1
2dir,5,565,53,E,E,2
2dir,5,566,54,NE,N,1
2dir,5,567,55,NE,E,2
2dir,5,568,56,SW,SE,2
2dir,5,569,57,NW,E,1
2dir,5,570,58,E,NE,1
2dir,5,571,59,W,N,2
2dir,5,572,60,SE,NE,1
2dir,5,573,61,S,SW,1
2dir,5,574,62,SW,S,1
2dir,5,575,63,N,S,1
2dir,5,576,64,W,N,1
2dir,5,577,65,S,NW,2
2dir,5,578,66,NE,N,2
2dir,5,579,67,S,SE,1
2dir,5,580,68,E,N,1
2dir,5,581,69,W,S,2
2dir,5,582,70,NE,NW,1
2dir,5,583,71,E,W,1
2dir,5,584,72,NE,SE,2
2dir,5,585,73,W,NW,1
2dir,5,586,74,SW,NE,2
2dir,5,587,75,NW,E,2
2dir,5,588,76,SE,E,1
2dir,5,589,77,N,W,2
2dir,5,590,78,N,W,1
2dir,5,591,79,SE,NW,2
2dir,5,592,80,N,NW,1
2dir,5,593,81,SE,N,1
2dir,5,594,82,S,N,2
2dir,5,595,83,NE,SE,1
2dir,5,596,84,SE,SW,1
2dir,5,597,85,SW,SW,1
2dir,5,598,86,S,SW,2
2dir,5,599,87,E,SE,2
2dir,5,600,88,NE,NW,2
2dir,5,601,89,NE,W,1
2dir,5,602,90,E,W,2
2dir,5,603,91,SW,N,2
2dir,5,604,92,SE,SW,2
2dir,5,605,93,NW,SE,1
2dir,5,606,94,E,N,2
2dir,5,607,95,W,E,2
2dir,5,608,96,W,SE,2
2dir,5,609,97,N,S,2
2dir,5,610,98,N,NW,2
2dir,5,611,99,SW,NW,2
2dir,5,612,100,W,SE,1
2dir,5,613,101,E,SW,1
2dir,5,614,102,SW,W,2
2dir,5,615,103,NW,N,2
2dir,5,616,104,E,S,2
2dir,5,617,105,N,SW,2
2dir,5,618,106,SE,E,2
2dir,5,619,107,W,NE,2
2dir,5,620,108,NW,SW,1
2dir,5,621,109,SW,SE,1
2dir,5,622,110,NW,NW,2
2dir,5,623,111,NE,SW,1
2dir,5,624,112,N,E,2
2dir,5,625,113,S,E,2
2dir,5,626,114,E,NE,2
2dir,5,627,115,SW,E,2
2dir,5,628,116,SW,NW,1
2dir,5,629,117,SE,NE,2
2dir,5,630,118,S,S,1
2dir,5,631,119,SE,SE,2
2dir,5,632,120,E,E,1
2dir,5,633,121,N,SW,1
2dir,5,634,122,SE,S,1
2dir,5,635,123,SW,S,2
2dir,5,636,124,S,NE,2
2dir,5,637,125,SE,NW,1
2dir,5,638,126,S,E,1
2dir,5,639,127,NW,NE,2
2dir,5,640,128,E,NW,2
2dir,6,641,1,W,S,2
2dir,6,642,2,W,NE,1
2dir,6,643,3,SW,W,2
2dir,6,644,4,S,NE,2
2dir,6,645,5,E,NW,2
2dir,6,646,6,SE,NE,1
2dir,6,647,7,NW,SW,1
2dir,6,648,8,SE,E,1
2dir,6,649,9,NW,S,2
2dir,6,650,10,W,E,2
2dir,6,651,11,W,SW,2
2dir,6,652,12,W,SE,1
2dir,6,653,13,NE,E,1
2dir,6,654,14,NE,E,2
2dir,6,655,15,NW,NE,2
2dir,6,656,16,N,N,2
2dir,6,657,17,N,SE,2
2dir,6,658,18,SE,N,1
2dir,6,659,19,NW,N,1
2dir,6,660,20,NW,N,2
2dir,6,661,21,SW,E,2
2dir,6,662,22,S,NE,1
2dir,6,663,23,N,NW,1
2dir,6,664,24,SW,NE,2
2dir,6,665,25,NW,NE,1
2dir,6,666,26,NW,NW,2
2dir,6,667,27,SE,SE,2
2dir,6,668,28,SE,W,2
2dir,6,669,29,S,NW,2
2dir,6,670,30,S,SW,1
2dir,6,671,31,NE,NE,1
2dir,6,672,32,E,SE,2
2dir,6,673,33,N,E,2
2dir,6,674,34,NE,N,1
2dir,6,675,35,N,N,1
2dir,6,676,36,W,NE,2
2dir,6,677,37,NE,S,2
2dir,6,678,38,NE,NE,2
2dir,6,679,39,NE,NW,1
2dir,6,680,40,S,E,1
2dir,6,681,41,NW,W,2
2dir,6,682,42,E,S,2
2dir,6,683,43,SE,S,1
2dir,6,684,44,N,S,1
2dir,6,685,45,N,SW,1
2dir,6,686,46,S,W,2
2dir,6,687,47,NW,E,1
2dir,6,688,48,S,N,2
2dir,6,689,49,SW,N,2
2dir,6,690,50,N,NE,2
2dir,6,691,51,W,N,1
2dir,6,692,52,W,W,2
2dir,6,693,53,E,W,1
2dir,6,694,54,NE,N,2
2dir,6,695,55,NE,W,1
2dir,6,696,56,SW,SW,1
2dir,6,697,57,NW,E,2
2dir,6,698,58,E,NE,2
2dir,6,699,59,W,S,1
2dir,6,700,60,SE,NE,2
2dir,6,701,61,S,SW,2
2dir,6,702,62,SW,S,2
2dir,6,703,63,N,S,2
2dir,6,704,64,W,N,2
2dir,6,705,65,S,SE,1
2dir,6,706,66,NE,S,1
2dir,6,707,67,S,SE,2
2dir,6,708,68,E,N,2
2dir,6,709,69,W,E,1
2dir,6,710,70,NE,NW,2
2dir,6,711,71,E,W,2
2dir,6,712,72,NE,SW,1
2dir,6,713,73,W,NW,2
2dir,6,714,74,SW,NW,1
2dir,6,715,75,NW,W,1
2dir,6,716,76,SE,E,2
2dir,6,717,77,N,NE,1
2dir,6,718,78,N,W,2
2dir,6,719,79,SE,SE,1
2dir,6,720,80,N,NW,2
2dir,6,721,81,SE,N,2
2dir,6,722,82,S,S,1
2dir,6,723,83,NE,SE,2
2dir,6,724,84,SE,SW,2
2dir,6,725,85,SW,SW,2
2dir,6,726,86,E,N,1
2dir,6,727,87,E,SW,1
2dir,6,728,88,NE,SE,1
2dir,6,729,89,NE,W,2
2dir,6,730,90,E,NE,1
2dir,6,731,91,SW,S,1
2dir,6,732,92,SW,N,1
2dir,6,733,93,NW,SE,2
2dir,6,734,94,E,S,1
2dir,6,735,95,W,W,1
2dir,6,736,96,W,SW,1
2dir,6,737,97,N,E,1
2dir,6,738,98,N,SE,1
2dir,6,739,99,SW,SE,1
2dir,6,740,100,W,SE,2
2dir,6,741,101,E,SW,2
2dir,6,742,102,SW,NE,1
2dir,6,743,103,NW,S,1
2dir,6,744,104,E,E,1
2dir,6,745,105,S,N,1
2dir,6,746,106,SE,W,1
2dir,6,747,107,W,NW,1
2dir,6,748,108,NW,SW,2
2dir,6,749,109,SW,SE,2
2dir,6,750,110,NW,SE,1
2dir,6,751,111,NE,SW,2
2dir,6,752,112,N,W,1
2dir,6,753,113,S,W,1
2dir,6,754,114,E,NW,1
2dir,6,755,115,SW,W,1
2dir,6,756,116,SW,NW,2
2dir,6,757,117,SE,NW,1
2dir,6,758,118,S,S,2
2dir,6,759,119,SE,SW,1
2dir,6,760,120,E,E,2
2dir,6,761,121,N,SW,2
2dir,6,762,122,SE,S,2
2dir,6,763,123,SW,E,1
2dir,6,764,124,S,NW,1
2dir,6,765,125,SE,NW,2
2dir,6,766,126,S,E,2
2dir,6,767,127,NW,NW,1
2dir,6,768,128,E,SE,1
2dir,7,769,1,W,E,1
2dir,7,770,2,W,NE,2
2dir,7,771,3,SW,NE,1
2dir,7,772,4,S,NW,1
2dir,7,773,5,E,SE,1
2dir,7,774,6,SE,NE,2
2dir,7,775,7,NW,SW,2
2dir,7,776,8,SE,E,2
2dir,7,777,9,NW,E,1
2dir,7,778,10,W,W,1
2dir,7,779,11,NE,N,1
2dir,7,780,12,W,SE,2
2dir,7,781,13,NE,E,2
2dir,7,782,14,NE,W,1
2dir,7,783,15,NW,NW,1
2dir,7,784,16,N,S,1
2dir,7,785,17,N,SW,1
2dir,7,786,18,SE,N,2
2dir,7,787,19,NW,N,2
2dir,7,788,20,NW,S,1
2dir,7,789,21,SW,W,1
2dir,7,790,22,S,NE,2
2dir,7,791,23,N,NW,2
2dir,7,792,24,SW,NW,1
2dir,7,793,25,NW,NE,2
2dir,7,794,26,NW,SE,1
2dir,7,795,27,SE,SW,1
2dir,7,796,28,SE,NE,1
2dir,7,797,29,S,SE,1
2dir,7,798,30,S,SW,2
2dir,7,799,31,NE,NE,2
2dir,7,800,32,E,SW,1
2dir,7,801,33,N,W,1
2dir,7,802,34,NE,N,2
2dir,7,803,35,N,N,2
2dir,7,804,36,W,NW,1
2dir,7,805,37,NE,E,1
2dir,7,806,38,NE,NW,1
2dir,7,807,39,NE,NW,2
2dir,7,808,40,S,E,2
2dir,7,809,41,NW,NE,1
2dir,7,810,42,E,E,1
2dir,7,811,43,SE,S,2
2dir,7,812,44,N,S,2
2dir,7,813,45,N,SW,2
2dir,7,814,46,S,NE,1
2dir,7,815,47,NW,E,2
2dir,7,816,48,S,S,1
2dir,7,817,49,SW,S,1
2dir,7,818,50,N,NW,1
2dir,7,819,51,W,N,2
