DesignName,ParticipantID,TrialID,Block1,Letter1,Letter2,Modifier1,Modifier2,Size
2key,1,363,363,Right,Left,CMD_Alt_Shift,CMD_Shift,2
2key,1,364,364,Left,Left,CMD_Alt_Shift,CMD_Shift,1
2key,1,365,365,Left,Middle,None,CMD,1
2key,1,366,366,Right,Right,CMD,Alt,2
2key,1,367,367,Left,Right,None,CMD_Alt_Shift,1
2key,1,368,368,Left,Left,Alt,Alt,1
2key,1,369,369,Left,Middle,CMD,CMD,1
2key,1,370,370,Right,Right,CMD_Alt_Shift,CMD_Alt_Shift,1
2key,1,371,371,Right,Right,CMD_Alt_Shift,CMD_Shift,2
2key,1,372,372,Right,Left,CMD_Shift,CMD,1
2key,1,373,373,Right,Middle,CMD,CMD_Alt_Shift,2
2key,1,374,374,Right,Right,Alt,CMD_Shift,1
2key,1,375,375,Left,Left,Alt,None,2
2key,1,376,376,Left,Middle,Alt,None,1
2key,1,377,377,Middle,Right,None,CMD_Alt_Shift,1
2key,1,378,378,Middle,Left,CMD,CMD_Shift,2
2key,1,379,379,Left,Middle,CMD,CMD_Alt_Shift,1
2key,1,380,380,Right,Right,CMD,CMD_Alt_Shift,2
2key,1,381,381,Left,Left,CMD_Alt_Shift,CMD_Alt_Shift,1
2key,1,382,382,Right,Right,CMD_Shift,CMD,2
2key,1,383,383,Left,Right,None,Alt,1
2key,1,384,384,Right,Middle,None,Alt,2
2key,1,385,385,Middle,Right,CMD_Shift,CMD_Alt_Shift,1
2key,1,386,386,Right,Middle,None,CMD,1
2key,1,387,387,Middle,Middle,CMD_Shift,CMD_Shift,1
2key,1,388,388,Right,Right,CMD_Alt_Shift,CMD_Shift,1
2key,1,389,389,Left,Right,CMD_Shift,Alt,2
2key,1,390,390,Right,Right,CMD_Alt_Shift,None,1
2key,1,391,391,Middle,Right,CMD,CMD_Shift,1
2key,1,392,392,Right,Left,None,Alt,1
2key,1,393,393,Right,Right,CMD,None,2
2key,1,394,394,Left,Middle,None,Alt,1
2key,1,395,395,Left,Middle,CMD_Alt_Shift,CMD,2
2key,1,396,396,Middle,Middle,CMD,CMD_Alt_Shift,1
2key,1,397,397,Middle,Right,Alt,None,1
2key,1,398,398,Middle,Middle,Alt,None,1
2key,1,399,399,Right,Right,None,CMD_Alt_Shift,1
2key,1,400,400,Middle,Middle,None,Alt,1
2key,1,401,401,Left,Right,CMD_Alt_Shift,CMD_Alt_Shift,1
2key,1,402,402,Right,Middle,CMD_Alt_Shift,None,2
2key,1,403,403,Middle,Right,CMD_Alt_Shift,Alt,2
2key,1,404,404,Right,Left,Alt,CMD_Shift,1
2key,1,405,405,Middle,Middle,None,CMD,1
2key,1,406,406,Left,Right,CMD_Shift,CMD_Alt_Shift,2
2key,1,407,407,Middle,Middle,CMD_Alt_Shift,CMD,1
2key,1,408,408,Right,Left,CMD,CMD_Alt_Shift,1
2key,1,409,409,Middle,Middle,CMD,None,2
2key,1,410,410,Middle,Middle,None,CMD_Shift,1
2key,1,411,411,Right,Right,Alt,Alt,1
2key,1,412,412,Left,Middle,CMD_Alt_Shift,Alt,1
2key,1,413,413,Right,Middle,Alt,Alt,1
2key,1,414,414,Middle,Right,CMD_Alt_Shift,CMD_Alt_Shift,2
2key,1,415,415,Right,Right,None,CMD_Shift,1
2key,1,416,416,Right,Middle,CMD_Shift,CMD,1
2key,1,417,417,Left,Middle,CMD_Shift,Alt,1
2key,1,418,418,Right,Left,CMD,CMD,2
2key,1,419,419,Middle,Middle,CMD_Alt_Shift,Alt,2
2key,1,420,420,Left,Left,Alt,CMD,1
2key,1,421,421,Middle,Left,Alt,CMD_Shift,2
2key,1,422,422,Middle,Right,Alt,None,2
2key,1,423,423,Right,Left,Alt,None,1
2key,1,424,424,Left,Left,Alt,CMD_Shift,1
2key,1,425,425,Middle,Middle,Alt,CMD,2
2key,1,426,426,Right,Left,CMD,CMD_Alt_Shift,2
2key,1,427,427,Left,Right,CMD_Shift,Alt,1
2key,1,428,428,Left,Left,CMD,CMD_Alt_Shift,1
2key,1,429,429,Left,Middle,CMD_Shift,None,2
2key,1,430,430,Middle,Middle,Alt,CMD_Alt_Shift,2
2key,1,431,431,Left,Left,CMD,CMD,1
2key,1,432,432,Right,Right,CMD,CMD,1
2key,1,433,433,Middle,Right,Alt,CMD_Alt_Shift,1
2key,1,434,434,Middle,Middle,CMD_Alt_Shift,None,1
2key,1,435,435,Middle,Right,None,CMD,1
2key,1,436,436,Left,Middle,None,CMD_Alt_Shift,2
2key,1,437,437,Right,Middle,None,CMD_Alt_Shift,2
2key,1,438,438,Middle,Left,CMD_Shift,Alt,1
2key,1,439,439,Left,Middle,CMD_Alt_Shift,CMD,1
2key,1,440,440,Right,Right,CMD_Shift,CMD_Alt_Shift,1
2key,1,441,441,Right,Left,CMD_Alt_Shift,CMD,2
2key,1,442,442,Left,Middle,CMD_Alt_Shift,None,1
2key,1,443,443,Right,Left,CMD_Alt_Shift,CMD,1
2key,1,444,444,Left,Left,None,Alt,1
2key,1,445,445,Left,Left,CMD,Alt,1
2key,1,446,446,Right,Left,CMD,Alt,2
2key,1,447,447,Right,Middle,Alt,None,2
2key,1,448,448,Middle,Right,CMD_Shift,CMD_Alt_Shift,2
2key,1,449,449,Left,Left,None,CMD,1
2key,1,450,450,Right,Right,Alt,CMD,2
2key,2,451,1,Right,Left,CMD_Alt_Shift,None,1
2key,2,452,2,Left,Middle,None,CMD,1
2key,2,453,3,Left,Right,CMD,Alt,2
2key,2,454,4,Left,Left,Alt,None,2
2key,2,455,5,Left,Left,CMD_Shift,CMD_Alt_Shift,2
2key,2,456,6,Middle,Middle,Alt,Alt,2
2key,2,457,7,Right,Middle,None,CMD_Alt_Shift,2
2key,2,458,8,Left,Middle,CMD_Alt_Shift,CMD_Shift,1
2key,2,459,9,Left,Middle,Alt,CMD_Alt_Shift,2
2key,2,460,10,Right,Middle,CMD_Shift,None,2
2key,2,461,11,Right,Right,None,CMD_Shift,1
2key,2,462,12,Left,Middle,None,CMD_Shift,1
2key,2,463,13,Middle,Middle,CMD,CMD,2
2key,2,464,14,Left,Middle,CMD,Alt,2
2key,2,465,15,Right,Right,CMD,CMD_Shift,2
2key,2,466,16,Left,Right,Alt,Alt,2
2key,2,467,17,Middle,Left,CMD,Alt,2
2key,2,468,18,Right,Left,None,CMD_Alt_Shift,2
2key,2,469,19,Middle,Middle,CMD_Alt_Shift,Alt,2
